latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.00012,40.22071,338.1,0.38,0.36,2020-01-12,1016,N,VIIRS,n,2,272.38,4.13,D,0
37.631,27.23227,327.92,0.42,0.61,2020-01-12,1017,N,VIIRS,n,2,283.89,4.39,D,0
38.65198,39.77365,325.63,0.38,0.36,2020-01-12,1017,N,VIIRS,n,2,280.27,2.97,D,2
37.6297,27.22753,348.31,0.42,0.61,2020-01-12,1017,N,VIIRS,n,2,284.53,4.39,D,0
37.01973,36.10847,313.69,0.42,0.61,2020-01-12,2237,N,VIIRS,n,2,280.12,1.79,N,2
36.73091,36.20824,296.68,0.42,0.61,2020-01-12,2237,N,VIIRS,n,2,281.92,0.85,N,2
36.7366,36.20879,299.29,0.42,0.61,2020-01-12,2237,N,VIIRS,n,2,282.62,1.74,N,2
36.26226,33.72928,300.54,0.56,0.69,2020-01-12,2237,N,VIIRS,n,2,277.99,0.67,N,2
36.72882,36.21143,300.85,0.41,0.61,2020-01-12,2237,N,VIIRS,n,2,282.13,0.84,N,2
36.74019,36.21252,308.86,0.41,0.61,2020-01-12,2237,N,VIIRS,n,2,281.73,2.09,N,2
36.71796,36.20094,298.07,0.42,0.61,2020-01-12,2237,N,VIIRS,n,2,279.54,0.56,N,2
36.86712,34.76324,295.08,0.5,0.66,2020-01-12,2237,N,VIIRS,n,2,277.16,1.17,N,2
38.73401,26.96755,296.26,0.43,0.38,2020-01-13,0017,N,VIIRS,n,2,275.89,0.63,N,2
38.7342,26.94683,297.28,0.43,0.38,2020-01-13,0017,N,VIIRS,n,2,279.18,1.27,N,2
36.87011,34.76607,295.32,0.37,0.58,2020-01-13,0017,N,VIIRS,n,2,278.81,0.51,N,2
36.86601,34.76001,295.46,0.37,0.58,2020-01-13,0017,N,VIIRS,n,2,278.32,0.51,N,2
38.27877,27.57886,297.38,0.46,0.39,2020-01-13,0017,N,VIIRS,n,2,276.26,0.47,N,0
38.7549,26.95322,296.11,0.43,0.38,2020-01-13,0017,N,VIIRS,n,2,276.49,0.51,N,2
41.73296,26.5442,320.73,0.4,0.37,2020-01-13,0017,N,VIIRS,n,2,271.98,2.25,N,0
41.01449,27.96414,309.88,0.44,0.38,2020-01-13,0017,N,VIIRS,n,2,275.57,1.43,N,2
40.44603,27.13872,302.95,0.42,0.38,2020-01-13,0017,N,VIIRS,n,2,277.73,2.05,N,3
40.44263,27.13763,312.73,0.42,0.38,2020-01-13,0017,N,VIIRS,n,2,280.47,1.94,N,2
40.44175,27.14246,305.44,0.42,0.38,2020-01-13,0017,N,VIIRS,n,2,278.69,1.35,N,2
39.86423,26.24598,304.13,0.41,0.37,2020-01-13,0017,N,VIIRS,n,2,278.69,1.68,N,2
36.72955,36.21343,295.46,0.44,0.62,2020-01-13,0017,N,VIIRS,n,2,281.75,0.99,N,2
36.7198,36.20401,309.71,0.44,0.62,2020-01-13,0017,N,VIIRS,n,2,279.51,1.06,N,2
38.748,26.95109,319.6,0.43,0.38,2020-01-13,0017,N,VIIRS,n,2,277.95,1.65,N,2
38.74455,26.95002,298.87,0.43,0.38,2020-01-13,0017,N,VIIRS,n,2,276.83,0.49,N,2
38.73764,26.94794,318.08,0.43,0.38,2020-01-13,0017,N,VIIRS,n,2,282.98,1.27,N,2
37.07225,40.23684,333.19,0.5,0.41,2020-01-13,0958,N,VIIRS,n,2,285.82,4.39,D,0
37.06673,40.20896,340.27,0.5,0.41,2020-01-13,0958,N,VIIRS,n,2,289.53,19.04,D,0
37.10179,40.22789,343.78,0.5,0.41,2020-01-13,0958,N,VIIRS,n,2,286.96,7.68,D,0
37.14312,40.41945,329.78,0.49,0.4,2020-01-13,0958,N,VIIRS,n,2,287.62,5.77,D,0
37.16887,40.53233,328.15,0.49,0.4,2020-01-13,0958,N,VIIRS,n,2,286.29,3.56,D,0
37.17251,40.53124,328.02,0.49,0.4,2020-01-13,0958,N,VIIRS,n,2,285.21,3.56,D,0
37.1834,40.14262,329.76,0.5,0.41,2020-01-13,0958,N,VIIRS,n,2,286.02,4.45,D,0
37.26316,39.61113,330.72,0.53,0.42,2020-01-13,0958,N,VIIRS,n,2,286.46,5.84,D,0
37.26443,39.60889,332.15,0.53,0.42,2020-01-13,0958,N,VIIRS,n,2,285.94,4.2,D,0
37.46492,38.70066,327.33,0.39,0.44,2020-01-13,0958,N,VIIRS,n,2,287.66,1.68,D,0
37.12454,40.57108,327.32,0.49,0.4,2020-01-13,0958,N,VIIRS,n,2,285.88,3.08,D,0
38.65338,39.77098,327.49,0.5,0.41,2020-01-13,0958,N,VIIRS,n,2,282.84,3.14,D,2
36.7204,36.20125,326.3,0.7,0.75,2020-01-13,1138,N,VIIRS,n,2,288.09,2.06,D,2
38.63885,26.48146,339.01,0.43,0.46,2020-01-13,1139,N,VIIRS,n,2,283.86,4.49,D,0
39.26772,31.30817,326.24,0.4,0.6,2020-01-13,1139,N,VIIRS,n,2,283.48,1.51,D,0
39.97513,26.21442,326.38,0.43,0.46,2020-01-13,1139,N,VIIRS,n,2,283.46,2.57,D,0
38.65483,39.77323,298.75,0.5,0.66,2020-01-13,2217,N,VIIRS,n,2,267.46,2.01,N,2
38.65015,39.7682,303.29,0.5,0.66,2020-01-13,2217,N,VIIRS,n,2,267.87,2.02,N,2
37.02127,36.10836,298.19,0.77,0.77,2020-01-13,2218,N,VIIRS,n,2,277.7,1.85,N,2
41.24189,36.4653,321.42,0.41,0.45,2020-01-13,2357,N,VIIRS,n,2,274.24,2.85,N,2
40.78251,29.60227,300.08,0.38,0.36,2020-01-13,2358,N,VIIRS,n,2,280.47,1.36,N,2
40.75609,31.78408,299.91,0.41,0.37,2020-01-13,2358,N,VIIRS,n,2,270.68,0.95,N,2
41.02051,28.5557,315.25,0.39,0.36,2020-01-13,2358,N,VIIRS,n,2,276.29,1.52,N,2
38.65074,39.77308,321.15,0.34,0.56,2020-01-13,2358,N,VIIRS,n,2,268.39,1.57,N,2
38.65175,39.76925,295.94,0.34,0.56,2020-01-13,2358,N,VIIRS,n,2,267.78,1.79,N,2
38.65425,39.77381,320.56,0.34,0.56,2020-01-13,2358,N,VIIRS,n,2,268.18,0.85,N,2
41.01736,27.96052,302.43,0.39,0.36,2020-01-13,2358,N,VIIRS,n,2,275.1,1.12,N,2
38.64927,39.77178,305.87,0.34,0.56,2020-01-13,2358,N,VIIRS,n,2,268.17,0.85,N,2
39.9437,33.1926,297.4,0.47,0.4,2020-01-13,2358,N,VIIRS,n,2,269.6,1.32,N,2
41.19358,32.62691,298.48,0.43,0.38,2020-01-13,2358,N,VIIRS,n,2,271.88,1.2,N,2
41.63068,27.6874,302.69,0.4,0.37,2020-01-13,2358,N,VIIRS,n,2,274.59,1.24,N,2
41.63476,27.5077,302.21,0.4,0.37,2020-01-13,2358,N,VIIRS,n,2,273.17,0.8,N,2
40.24194,29.92716,301.23,0.39,0.36,2020-01-13,2358,N,VIIRS,n,2,272.96,0.9,N,2
40.44361,27.13909,340.49,0.4,0.37,2020-01-13,2358,N,VIIRS,n,2,280.35,2.91,N,2
40.44294,27.14384,298.99,0.4,0.37,2020-01-13,2358,N,VIIRS,n,2,274.89,2.91,N,2
39.48403,30.04102,303.83,0.39,0.36,2020-01-13,2358,N,VIIRS,n,2,269.53,1.36,N,2
39.86646,26.24564,313.41,0.42,0.37,2020-01-13,2358,N,VIIRS,n,2,278.1,1.09,N,2
38.79823,26.92341,300.81,0.4,0.37,2020-01-13,2358,N,VIIRS,n,2,276.87,0.86,N,0
38.75288,26.95012,302.9,0.4,0.37,2020-01-13,2358,N,VIIRS,n,2,277.35,1.22,N,2
38.73615,26.94623,307.42,0.4,0.37,2020-01-13,2358,N,VIIRS,n,2,283.63,1.03,N,2
38.73355,26.96439,300.58,0.39,0.37,2020-01-13,2358,N,VIIRS,n,2,274.89,0.68,N,2
