sep=,
CUSTOM.date [local],CUSTOM.updateTime [local],OSD.flyTime,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [ft],OSD.heightMax [ft],OSD.vpsHeight [ft],OSD.altitude [ft],OSD.mileage [ft],OSD.hSpeed [MPH],OSD.hSpeedMax [MPH],OSD.xSpeed [MPH],OSD.xSpeedMax [MPH],OSD.ySpeed [MPH],OSD.ySpeedMax [MPH],OSD.zSpeed [MPH],OSD.zSpeedMax [MPH],OSD.pitch,OSD.roll,OSD.yaw,OSD.yaw [360],OSD.directionOfTravel,OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.gpsNum,OSD.gpsLevel,OSD.isGPSUsed,OSD.nonGPSCause,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.ctrlDevice,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.motorFailReason,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceletorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.yaw [360],GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.filename,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.mode,RC.goHomeDepressed,RC.recordDepressed,RC.shutterDepressed,RC.playbackDepressed,RC.wheelDepressed,RC.wheelOffset,RC.custom1Depressed,RC.custom2Depressed,RC.custom3Depressed,RC.custom4Depressed,BATTERY.chargeLevel,BATTERY.currentPV [V],BATTERY.currentCapacity [mAh],BATTERY.fullCapacity [mAh],BATTERY.voltage [V],BATTERY.isCellVoltageEstimated,BATTERY.cellVoltage1 [V],BATTERY.cellVoltage2 [V],BATTERY.cellVoltage3 [V],BATTERY.cellVoltage4 [V],BATTERY.maxCellVoltageDeviation,BATTERY.isCellVoltageDeviationHigh,BATTERY.isVoltageLow,BATTERY.current [A],BATTERY.temperature [F],BATTERY.minTemperature [F],BATTERY.maxTemperature [F],BATTERY.usefulTime [s],BATTERY.goHomeTime [s],BATTERY.landTime [s],BATTERY.goHomeBattery,BATTERY.landBattery,BATTERY.safeFlyRadius,BATTERY.volumeConsume,BATTERY.status,BATTERY.goHomeStatus,BATTERY.goHomeCountdown,BATTERY.lowWarning,BATTERY.lowWarningGoHome,BATTERY.seriousLowWarning,BATTERY.seriousLowWarningLanding,BATTERY.timesCharged,MC.failSafeAction,MC.isObstacleAvoidanceEnabled,MC.isCollisionAvoidanceEnabled,MC.isRthObstacleAvoidanceEnabled,MC.isBraking,MC.isAvoidingObstacle,MC.isAvoidingActiveObstacle,MC.isAscentLimitedByObstacle,MC.isLandingConfirmationNeeded,MC.atLowAltitudeLimit,MC.atDistanceLimit,MC.atAirportAltitudeLimit,MC.atAirportBoundary,HOME.latitude,HOME.longitude,HOME.distance [ft],HOME.height [ft],HOME.heightLimit [ft],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleFlightModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [ft],HOME.courseLockAngle,HOME.forceLandingHeight [ft],HOME.dataRecorderFileIndex,WEATHER.windDirection,WEATHER.windRelativeDirection,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],WEATHER.windStrength,WEATHER.isFacingWind,WEATHER.isFlyingIntoWind,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,DETAILS.totalTime [s],DETAILS.totalDistance [ft],DETAILS.maxHeight [ft],DETAILS.maxHorizontalSpeed [MPH],DETAILS.maxVerticalSpeed [MPH],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.batterySerial,DETAILS.appName,DETAILS.appType,DETAILS.appVersion,DETAILS.guid,SERIAL.flightController,SERIAL.camera,SERIAL.gimbal,SERIAL.rc,SERIAL.battery,SERIAL.battery2,APPGPS.latitude,APPGPS.longitude,APPGPS.accuracy,APP.tip,APP.warning
1/9/2019,7:16:53.97 PM,0m 0.2s,0.2,29.5771921690672,-95.7542586759733,0,0,0.6,78,0,0,0,0,0,0,0,0,0,0.2,0,-90.8,269.2,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Phantom 4 Pro V2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-86.2,273.8,False,False,False,False,False,False,,True,Normal,,,364,364,364,1684,1,False,False,False,False,False,0,False,False,False,False,99,17.05,5821,5880,17.05,False,4.282,4.284,4.284,4.283,0.002,False,False,1.372,78.7,78.8,78.8,,1,,15,10,5365.8,1375.86,,Idle,,30,,10,,5,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,29.5771966686172,-95.7542541262255,2.1,,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,98.4,,9.8,69,,,,,Calm,False,False,iOS,4.3.9,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,940.7,29733.3,254.9,31.02166,11.408394,4,617,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,,iOS,4.3.9,09BB88B9-9094-14A7-FB95-66237314EC40,11VKF6E002033A,0BDDF7500153E0,,0WGUF7C00200FC,0DQAF1S03202RE,,,,,Data Recorder File Index is 69.; Set Return to Home (RTH) altitude to 30 m (98 ft).; Set maximum flight altitude to 500 m (1640 ft).; Flight mode changed to Starting Motors.,Your aircraft has entered a Warning Zone (Class E). Please fly with caution.
1/9/2019,7:16:54.07 PM,0m 0.3s,0.3,29.5771921662284,-95.754258696195,0,0,0.6,78,0,0,0,0,0,0,0,0,0,0.2,0,-90.8,269.2,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Phantom 4 Pro V2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-86.3,273.7,False,False,False,False,False,False,,True,Normal,,,371,370,364,1684,1,False,False,False,False,False,0,False,False,False,False,99,17.05,5821,5880,17.05,False,4.282,4.284,4.284,4.283,0.002,False,False,1.372,78.7,78.8,78.8,,1,,15,10,5365.8,1375.86,,Idle,,30,,10,,5,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,29.5771966686172,-95.7542541262255,2.1,,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,98.4,,9.8,69,,,,,Calm,False,False,iOS,4.3.9,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,940.7,29733.3,254.9,31.02166,11.408394,4,617,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,,iOS,4.3.9,09BB88B9-9094-14A7-FB95-66237314EC40,11VKF6E002033A,0BDDF7500153E0,,0WGUF7C00200FC,0DQAF1S03202RE,,,,,,
1/9/2019,7:16:54.18 PM,0m 0.4s,0.4,29.5771921643105,-95.7542587451173,0,0,0.6,78,0,0,0,0,0,0,0,0,0,0.2,0,-90.8,269.2,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Phantom 4 Pro V2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-86.2,273.8,False,False,False,False,False,False,,True,Normal,,,539,540,364,1684,1,False,False,False,False,False,0,False,False,False,False,99,17.05,5821,5880,17.05,False,4.282,4.284,4.284,4.283,0.002,False,False,1.372,78.7,78.8,78.8,,1,,15,10,5365.8,1375.86,,Idle,,30,,10,,5,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,29.5771966686172,-95.7542541262255,2.2,,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,98.4,,9.8,69,,,,,Calm,False,False,iOS,4.3.9,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,940.7,29733.3,254.9,31.02166,11.408394,4,617,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,,iOS,4.3.9,09BB88B9-9094-14A7-FB95-66237314EC40,11VKF6E002033A,0BDDF7500153E0,,0WGUF7C00200FC,0DQAF1S03202RE,,,,,,
1/9/2019,7:16:54.29 PM,0m 0.5s,0.5,29.5771921628217,-95.7542587772306,0,0,0.6,78,0,0,0,0,0,0,0,0,0,0.2,0,-90.8,269.2,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Phantom 4 Pro V2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-86.2,273.8,False,False,False,False,False,False,,True,Normal,,,716,720,366,1684,1,False,False,False,False,False,0,False,False,False,False,99,17.05,5821,5880,17.05,False,4.282,4.284,4.284,4.283,0.002,False,False,1.372,78.7,78.8,78.8,,1,,15,10,5365.8,1375.86,,Idle,,30,,10,,5,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,29.5771966686172,-95.7542541262255,2.2,,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,98.4,,9.8,69,,,,,Calm,False,False,iOS,4.3.9,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,940.7,29733.3,254.9,31.02166,11.408394,4,617,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,,iOS,4.3.9,09BB88B9-9094-14A7-FB95-66237314EC40,11VKF6E002033A,0BDDF7500153E0,,0WGUF7C00200FC,0DQAF1S03202RE,,,,,,
1/9/2019,7:16:54.39 PM,0m 0.6s,0.6,29.5771921268999,-95.7542588751008,0,0,0.6,78,0,0,0,0,0,0,0,0,0,0.2,0,-90.8,269.2,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Phantom 4 Pro V2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-86.3,273.7,False,False,False,False,False,False,,True,Normal,,,1013,951,565,1530,1,False,False,False,False,False,0,False,False,False,False,99,17.05,5821,5880,17.05,False,4.282,4.284,4.284,4.283,0.002,False,False,1.372,78.7,78.8,78.8,,1,,15,10,5365.8,1375.86,,Idle,,30,,10,,5,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,29.5771966686172,-95.7542541262255,2.2,,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,98.4,,9.8,69,,,,,Calm,False,False,iOS,4.3.9,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,940.7,29733.3,254.9,31.02166,11.408394,4,617,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,,iOS,4.3.9,09BB88B9-9094-14A7-FB95-66237314EC40,11VKF6E002033A,0BDDF7500153E0,,0WGUF7C00200FC,0DQAF1S03202RE,,,,,,
1/9/2019,7:16:54.49 PM,0m 0.7s,0.7,29.5771921262367,-95.754258881181,0,0,0.6,78,0,0,0,0,0,0,0,0,0,0.2,0,-90.8,269.2,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Phantom 4 Pro V2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-86.8,273.2,False,False,False,False,False,False,,True,Normal,,,1024,1024,843,1276,1,False,False,False,False,False,0,False,False,False,False,99,17.05,5821,5880,17.05,False,4.282,4.284,4.284,4.283,0.002,False,False,1.372,78.7,78.8,78.8,,1,,15,10,5365.8,1375.86,,Idle,,30,,10,,5,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,29.5771966686172,-95.7542541262255,2.2,,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,98.4,,9.8,69,,,,,Calm,False,False,iOS,4.3.9,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,940.7,29733.3,254.9,31.02166,11.408394,4,617,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,,iOS,4.3.9,09BB88B9-9094-14A7-FB95-66237314EC40,11VKF6E002033A,0BDDF7500153E0,,0WGUF7C00200FC,0DQAF1S03202RE,,,,,,
1/9/2019,7:16:54.59 PM,0m 0.8s,0.8,29.5771921270578,-95.7542588787464,0,0,0.9,78,0,0,0,0,0,0,0,0,0,0.2,0,-90.8,269.2,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Phantom 4 Pro V2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-88.2,271.8,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,99,17.05,5821,5880,17.05,False,4.282,4.284,4.284,4.283,0.002,False,False,1.372,78.7,78.8,78.8,,1,,15,10,5365.8,1375.86,,Idle,,30,,10,,5,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,29.5771966686172,-95.7542541262255,2.2,,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,98.4,,9.8,69,,,,,Calm,False,False,iOS,4.3.9,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,940.7,29733.3,254.9,31.02166,11.408394,4,617,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,,iOS,4.3.9,09BB88B9-9094-14A7-FB95-66237314EC40,11VKF6E002033A,0BDDF7500153E0,,0WGUF7C00200FC,0DQAF1S03202RE,,,,,,
1/9/2019,7:16:54.65 PM,0m 0.9s,0.9,29.5771921281957,-95.7542588973182,0,0,0.9,78,0,0,0,0,0,0,0,0,0,0.2,0,-90.8,269.2,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Phantom 4 Pro V2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-89.1,270.9,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,99,17.05,5821,5880,17.05,False,4.282,4.284,4.284,4.283,0.002,False,False,1.372,78.7,78.8,78.8,,1,,15,10,5365.8,1375.86,,Idle,,30,,10,,5,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,29.5771966686172,-95.7542541262255,2.2,,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,98.4,,9.8,69,,,,,Calm,False,False,iOS,4.3.9,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,940.7,29733.3,254.9,31.02166,11.408394,4,617,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,,iOS,4.3.9,09BB88B9-9094-14A7-FB95-66237314EC40,11VKF6E002033A,0BDDF7500153E0,,0WGUF7C00200FC,0DQAF1S03202RE,,,,,,
1/9/2019,7:16:54.75 PM,0m 1.0s,1.0,29.5771921194204,-95.7542589817679,0,0,0.9,78,0,0,0,0,0,0,0,0,0,0.1,0,-90.8,269.2,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Phantom 4 Pro V2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-89.5,270.5,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,99,17.05,5821,5880,17.05,False,4.282,4.284,4.284,4.283,0.002,False,False,1.372,78.7,78.8,78.8,,1,,15,10,5365.8,1375.86,,Idle,,30,,10,,5,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,29.5771966686172,-95.7542541262255,2.2,,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,98.4,,9.8,69,,,,,Calm,False,False,iOS,4.3.9,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,940.7,29733.3,254.9,31.02166,11.408394,4,617,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,,iOS,4.3.9,09BB88B9-9094-14A7-FB95-66237314EC40,11VKF6E002033A,0BDDF7500153E0,,0WGUF7C00200FC,0DQAF1S03202RE,,,,,,
1/9/2019,7:16:54.85 PM,0m 1.1s,1.1,29.5771921227038,-95.754259010856,0,0,0.9,78,0.1,0,0,0,0,0,0,0,0,0.2,0,-90.8,269.2,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Phantom 4 Pro V2,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-89.8,270.2,False,False,False,False,False,False,,True,Normal,,,1024,1024,1024,1024,1,False,False,False,False,False,0,False,False,False,False,99,17.05,5821,5880,17.05,False,4.282,4.284,4.284,4.283,0.002,False,False,1.372,78.7,78.8,78.8,,1,,15,10,5365.8,1375.86,,Idle,,30,,10,,5,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,29.5771966686172,-95.7542541262255,2.2,,1640.4,True,1,1,False,False,False,False,,True,False,False,Course Lock,98.4,,9.8,69,,,,,Calm,False,False,iOS,4.3.9,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,940.7,29733.3,254.9,31.02166,11.408394,4,617,CRASARP4PV2-1,11VKF6E002033A,0BDDF7500153E0,0WGUF7C00200FC,0DQAF1S03202RE,,iOS,4.3.9,09BB88B9-9094-14A7-FB95-66237314EC40,11VKF6E002033A,0BDDF7500153E0,,0WGUF7C00200FC,0DQAF1S03202RE,,,,,,
